Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,PCO Tangible Common Equity
[Do not alter shaded columns]                             QA Field ID,,,,,,,3270
Field Type,,,,,,,BHC-SP
Period,,,,,,,6/30/25
Duration,,,,,,MRQ,
"Gardner Bancshares, Inc.",BHC-SP,1067617,Lenexa,KS,6/30/2025,"83,890","-2,173"
"Community Bancshares, Inc.",BHC-SP,1070765,Mcarthur,OH,6/30/2025,"1,501,689","150,477"
"Farmers Bancorp Of Nicholasville, Inc.",BHC-SP,1071771,Nicholasville,KY,6/30/2025,"245,701","26,660"
"St. Johns Bancshares, Inc.",BHC-SP,1096587,Saint Louis,MO,6/30/2025,"308,443","30,424"
First Union Financial Corporation,BHC-SP,1098880,Monticello,AR,6/30/2025,"324,259","27,361"
"Wilson & Muir Bancorp, Inc.",BHC-SP,1099122,Bardstown,KY,6/30/2025,"802,908","44,351"
"Lakota Bank Holding Company, Inc.",BHC-SP,1124994,Lakota,ND,6/30/2025,"64,241","6,062"
"Knoff Bancshares, Inc.",BHC-SP,1125320,Cokato,MN,6/30/2025,"131,068","8,172"
"Westbrand, Inc.",BHC-SP,1127650,Minot,ND,6/30/2025,"2,244,903","184,355"
Norbanc Group Inc.,BHC-SP,1128424,Pine River,MN,6/30/2025,"178,978","14,022"
"Raymond Bancorp, Inc.",BHC-SP,1131303,Raymond,IL,6/30/2025,"178,784","10,391"
"Sequatchie County Bancorp, Inc.",BHC-SP,1134751,Dunlap,TN,6/30/2025,"263,600","10,657"
"Union County Bancshares, Inc.",BHC-SP,1142877,Anna,IL,6/30/2025,"230,202","26,626"
"Huron Community Financial Services, Inc.",BHC-SP,1416608,East Tawas,MI,6/30/2025,"325,891","24,215"
Home Credit Corporation,BHC-SP,1480560,Salt Lake City,UT,6/30/2025,"114,544","18,002"
Geneva State Company,BHC-SP,1834396,Geneva,NE,6/30/2025,"922,108","94,460"
"Bruning Bancshares, Inc.",BHC-SP,1840753,Bruning,NE,6/30/2025,"656,116","57,918"
"FS Banco, Inc.",BHC-SP,1857171,Malta,MT,6/30/2025,"176,314","26,347"
"Cbt Corporation, Inc.",BHC-SP,1857779,Big Timber,MT,6/30/2025,"153,655","15,460"
"Community Independent Bancorp, Inc.",BHC-SP,1883219,West Salem,OH,6/30/2025,"185,851","11,353"
Cheyenne Banking Corporation,BHC-SP,2180205,Cheyenne,OK,6/30/2025,"267,657","25,598"
"First Trust Holdings, Inc., The",BHC-SP,2251776,Watseka,IL,6/30/2025,"315,406","47,606"
Delhi Bank Corp.,BHC-SP,2263331,Delhi,NY,6/30/2025,"370,087","29,207"
"Garvin County Bancshares, Inc.",BHC-SP,2438205,Wynnewood,OK,6/30/2025,"111,188","13,079"
"Citizens Bancshares, Inc.",BHC-SP,2473260,Albion,IL,6/30/2025,"346,906","57,002"
Pontotoc Bancshares Corp.,BHC-SP,2524911,Pontotoc,MS,6/30/2025,"501,266","43,795"
"Unity Bancshares, L.L.C.",BHC-SP,2630746,Saint Louis,MO,6/30/2025,"308,443","20,847"
"Centon Bancorp, Inc.",BHC-SP,2782609,Richton,MS,6/30/2025,"50,769","7,550"
Harleysville Financial Corporation,BHC-SP,2861492,Harleysville,PA,6/30/2025,"901,837","89,035"
"Wyoming National Bancorporation, Inc.",BHC-SP,2910970,Riverton,WY,6/30/2025,"245,754","16,878"
"C.C.Bancorp, Inc.",BHC-SP,3009714,Little Valley,NY,6/30/2025,"365,520","26,863"
"Psb Holdings, Inc.",BHC-SP,3213892,New Matamoras,OH,6/30/2025,"70,449","7,689"
"Ubt Bancshares, Inc.",BHC-SP,3219577,Marysville,KS,6/30/2025,"883,943","97,698"
Redwood Capital Bancorp,BHC-SP,3552032,Eureka,CA,6/30/2025,"553,056","53,706"
