Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Heritage Bank,Bank,311050,Sapulpa,OK,3/31/2025,"1,530,372","334,937","296,171","362,683","319,262","444,882","424,324","388,129","370,281","113,728","12,030",662,"247,207",,12692,,,,,,,,,,,,,,,,,,,,
American Heritage Bank,Bank,2960555,Clovis,NM,3/31/2025,"136,277",0,0,0,0,"37,822","33,967","36,050","31,716","13,035",0,0,"10,945",,0,,,,,,,,,,,,,,,,,,,,
American Heritage National Bank,Bank,61757,Long Prairie,MN,3/31/2025,"559,086","40,744","40,412","48,863","48,324","4,150","4,135","3,314","3,280","64,250","4,307",284,"2,219",,4591,,,,,,,,,,,,,,,,,,,,
American Interstate Bank,Bank,547251,Elkhorn,NE,3/31/2025,"120,302",0,0,0,0,0,0,0,0,"23,042",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
American Metro Bank,Bank,2533043,Chicago,IL,3/31/2025,"109,457",0,0,0,0,0,0,0,0,"14,975",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
American Momentum Bank,Bank,3447576,College Station,TX,3/31/2025,"2,823,668",0,0,0,0,"283,291","266,401","299,887","279,856","451,932","114,795","4,961",491,,119756,,,,,,,,,,,,,,,,,,,,
American Nation Bank,Bank,256058,Ardmore,OK,3/31/2025,"672,711",0,0,0,0,"155,462","146,719","157,759","147,228","57,530",0,0,"59,688",,0,,,,,,,,,,,,,,,,,,,,
American National Bank,Bank,660655,Omaha,NE,3/31/2025,"5,209,470",0,0,0,0,"1,031,061","977,796","1,037,021","972,052","450,718","29,005",0,"220,789",,29005,,,,,,,,,,,,,,,,,,,,
American National Bank - Fox Cities,Bank,2051127,Appleton,WI,3/31/2025,"417,359",0,0,0,0,"78,279","71,715","79,770","71,930","48,257",0,0,"5,966",,0,,,,,,,,,,,,,,,,,,,,
American National Bank & Trust,Bank,498362,Wichita Falls,TX,3/31/2025,"2,370,355",0,0,0,0,"109,498","105,770","101,061","96,104","227,723","4,220",40,"25,755",,4260,,,,,,,,,,,,,,,,,,,,
American National Bank Of Minnesota,Bank,306159,Baxter,MN,3/31/2025,"480,533",0,0,0,0,"10,416","9,214","10,702","9,304","45,078",0,0,"1,711",,0,,,,,,,,,,,,,,,,,,,,
"American National Bank Of Mount Pleasant, The",Bank,764067,Mount Pleasant,TX,3/31/2025,"137,389",0,0,0,0,"50,364","43,456","51,553","44,069","10,319",0,0,"16,750",,0,,,,,,,,,,,,,,,,,,,,
"American National Bank Of Texas, The",Bank,599764,Terrell,TX,3/31/2025,"5,518,998",0,0,0,0,"2,155,603","1,832,225","2,167,844","1,810,611","243,901","23,366",10,"584,645",,23376,,,,,,,,,,,,,,,,,,,,
"American Plus Bank, National Association",Bank,3623110,Arcadia,CA,3/31/2025,"783,388","4,954","4,724","5,581","5,237","5,696","5,176","5,923","5,407","131,514",0,0,"1,235",,0,,,,,,,,,,,,,,,,,,,,
American Pride Bank,Bank,3671997,Macon,GA,3/31/2025,"491,161",821,813,823,813,"46,362","45,311","40,019","38,549","61,154",0,0,"2,154",,0,,,,,,,,,,,,,,,,,,,,
American Riviera Bank,Bank,3388482,Santa Barbara,CA,3/31/2025,"1,288,204","41,416","39,362","41,398","39,490","196,353","175,644","200,624","177,934","129,316","4,800",97,"80,442",,4897,,,,,,,,,,,,,,,,,,,,
"American Savings Bank, F.S.B.",Bank,54973,Honolulu,HI,3/31/2025,"9,162,762","1,137,426","1,040,472","1,147,707","1,024,283","775,756","723,633","1,234,035","1,013,250","583,975",0,0,"13,647",,0,,,,,,,,,,,,,,,,,,,,
American State Bank,Bank,262358,Arp,TX,3/31/2025,"688,540",262,262,262,262,"26,409","24,663","26,475","24,529","70,785","4,628",243,917,,4871,,,,,,,,,,,,,,,,,,,,
American State Bank,Bank,276645,Osceola,IA,3/31/2025,"329,115",0,0,0,0,"76,547","69,206","77,849","70,474","29,046",210,0,"55,124",,210,,,,,,,,,,,,,,,,,,,,
American State Bank,Bank,735441,Sioux Center,IA,3/31/2025,"1,454,637",0,0,0,0,"36,714","36,630","40,730","40,463","147,834","1,886",0,"8,548",,1886,,,,,,,,,,,,,,,,,,,,
American State Bank & Trust Company Of Williston,Bank,244251,Williston,ND,3/31/2025,"646,118",0,0,0,0,"311,503","279,557","321,900","286,273","50,319",0,0,"104,603",,0,,,,,,,,,,,,,,,,,,,,
American State Bank Of Grygla,Bank,21359,Grygla,MN,3/31/2025,"81,478",240,240,240,240,"23,345","21,290","23,101","20,843","5,846",0,0,"3,042",,0,,,,,,,,,,,,,,,,,,,,
American Trust & Savings Bank,Bank,675341,Lowden,IA,3/31/2025,"33,605",0,0,0,0,"21,652","19,543","22,115","19,615","3,426",0,0,"9,854",,0,,,,,,,,,,,,,,,,,,,,
Americana Community Bank,Bank,201254,Sleepy Eye,MN,3/31/2025,"177,779",0,0,0,0,"34,188","31,385","35,191","31,882","17,609",0,0,"10,928",,0,,,,,,,,,,,,,,,,,,,,
America's Community Bank,Bank,440857,Blue Springs,MO,3/31/2025,"51,723",0,0,0,0,0,0,0,0,"5,102",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
AmeriFirst Bank,Bank,139133,Montgomery,AL,3/31/2025,"357,497",0,0,0,0,"39,793","36,645","41,868","38,227","29,997",703,"1,361","9,657",,2064,,,,,,,,,,,,,,,,,,,,
"Ameriprise Bank, Fsb",Bank,3470239,Minneapolis,MN,3/31/2025,"24,177,571",0,0,0,0,"21,321,936","20,706,699","20,229,055","19,404,493","1,351,138",0,"1,860",0,,1860,,,,,,,,,,,,,,,,,,,,
Ameris Bank,Bank,764030,Atlanta,GA,3/31/2025,"26,427,916","173,757","154,859","164,677","144,028","1,958,038","1,942,011","1,707,196","1,670,260","2,881,209","951,147","67,257","58,360",,1018404,,,,,,,,,,,,,,,,,,,,
Ameriserv Financial Bank,Bank,928618,Johnstown,PA,3/31/2025,"1,426,921","67,355","62,751","63,926","58,560","174,828","160,129","168,140","151,467","118,694","13,611",71,"38,864",,13682,,,,,,,,,,,,,,,,,,,,
Ameristate Bank,Bank,508355,Atoka,OK,3/31/2025,"447,975",0,0,0,0,"43,130","43,170","43,663","43,497","41,524","1,360",53,"2,768",,1413,,,,,,,,,,,,,,,,,,,,
Amg National Trust Bank,Bank,3015939,Boulder,CO,3/31/2025,"732,314",0,0,0,0,"209,146","209,061","180,543","180,032","91,411","5,880","5,913",0,,11793,,,,,,,,,,,,,,,,,,,,
Amistad Bank,Bank,30052,Del Rio,TX,3/31/2025,"52,241",0,0,0,0,"8,562","8,406","8,732","8,513","6,399","1,231","1,938","1,006",,3169,,,,,,,,,,,,,,,,,,,,
Amory Federal Savings And Loan Association,Bank,715975,Amory,MS,3/31/2025,"71,642","4,220","4,143","4,218","4,113","9,521","9,235","10,008","9,641","9,632",0,0,"3,150",,0,,,,,,,,,,,,,,,,,,,,
Anahuac National Bank,Bank,424352,Anahuac,TX,3/31/2025,"291,547",0,0,0,0,"166,828","145,031","137,537","114,550","2,310",0,0,"57,533",,0,,,,,,,,,,,,,,,,,,,,
ANB Bank,Bank,828651,Denver,CO,3/31/2025,"2,948,781","769,965","725,523","779,829","726,411","27,834","27,555","32,771","32,387","158,225",0,0,"23,065",,0,,,,,,,,,,,,,,,,,,,,
Anchor Bank,Bank,3342671,Palm Beach Gardens,FL,3/31/2025,"500,445","12,559","10,652","12,579","10,460","37,300","37,119","12,471","12,349","42,708",0,0,"7,726",,0,,,,,,,,,,,,,,,,,,,,
Anchor D Bank,Bank,327556,Texhoma,OK,3/31/2025,"385,302",0,0,0,0,"108,564","103,544","108,341","102,335","33,294",0,0,"7,056",,0,,,,,,,,,,,,,,,,,,,,
Anchor State Bank,Bank,655530,Anchor,IL,3/31/2025,"64,319",500,500,500,500,"10,000","9,777","10,591","10,292","7,119",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Anchorage Digital Bank National Association,Bank,5561001,Sioux Falls,SD,3/31/2025,"68,853","31,764","31,764","26,489","26,489",0,0,0,0,"59,379",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Anderson Brothers Bank,Bank,6329,Mullins,SC,3/31/2025,"2,066,810",0,0,0,0,"188,475","169,171","198,984","176,509","174,314",0,0,"12,756",,0,,,,,,,,,,,,,,,,,,,,
Anderson State Bank,Bank,916343,Oneida,IL,3/31/2025,"111,188",0,0,0,0,"44,965","43,565","46,593","44,745","16,166",0,0,"13,029",,0,,,,,,,,,,,,,,,,,,,,
Andes State Bank,Bank,410159,Lake Andes,SD,3/31/2025,"26,141",0,0,0,0,"2,685","2,590","2,643","2,523","3,449",0,0,871,,0,,,,,,,,,,,,,,,,,,,,
"ANDOVER BANK, THE",Bank,27614,Andover,OH,3/31/2025,"566,782",0,0,0,0,"292,443","253,766","298,040","257,897","25,013","2,654",0,"92,677",,2654,,,,,,,,,,,,,,,,,,,,
Andover State Bank,Bank,225054,Andover,KS,3/31/2025,"208,780",0,0,0,0,"13,298","12,386","13,365","12,279","17,209",0,0,"3,547",,0,,,,,,,,,,,,,,,,,,,,
Andrew Johnson Bank,Bank,361439,Greeneville,TN,3/31/2025,"595,955",0,0,0,0,"117,351","103,824","122,611","107,576","50,836",0,0,"35,576",,0,,,,,,,,,,,,,,,,,,,,
Androscoggin Savings Bank,Bank,132107,Lewiston,ME,3/31/2025,"1,694,530","3,180","3,189","5,800","5,803","140,068","120,028","142,005","118,810","143,194","7,197",0,"3,277",,7197,,,,,,,,,,,,,,,,,,,,
"Angelina Savings Bank, Ssb",Bank,660879,Lufkin,TX,3/31/2025,"80,824",0,0,0,0,0,0,0,0,"8,532",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Anna State Bank,Bank,691743,Anna,IL,3/31/2025,"107,161","53,439","50,578","54,294","50,885",0,0,0,0,"14,182",0,0,"26,201",,0,,,,,,,,,,,,,,,,,,,,
Anna-jonesboro National Bank,Bank,855844,Anna,IL,3/31/2025,"236,816","6,385","6,174","6,386","6,135","125,250","113,473","127,999","114,497","25,657",0,0,"58,730",,0,,,,,,,,,,,,,,,,,,,,
Anstaff Bank,Bank,261940,Green Forest,AR,3/31/2025,"1,093,436",0,0,0,0,"205,202","187,063","208,057","188,563","86,980","4,811",0,"89,539",,4811,,,,,,,,,,,,,,,,,,,,
Anthem Bank & Trust,Bank,527178,Plaquemine,LA,3/31/2025,"201,452","1,626","1,626","1,767","1,767","48,730","48,450","44,009","43,498","20,463",0,0,"1,371",,0,,,,,,,,,,,,,,,,,,,,
"Antwerp Exchange Bank Company, The",Bank,91615,Antwerp,OH,3/31/2025,"156,121",0,0,0,0,"30,805","26,279","31,160","26,136","11,501",0,0,"9,069",,0,,,,,,,,,,,,,,,,,,,,
Apex Bank,Bank,51253,Camden,TN,3/31/2025,"1,386,953",0,0,0,0,"18,726","18,969","8,232","8,522","191,641","7,575","2,576",0,,10151,,,,,,,,,,,,,,,,,,,,
Apex Banking Company Of Georgia,Bank,102333,Irwinton,GA,3/31/2025,"63,580",0,0,0,0,"20,465","18,641","21,363","19,232","5,128",0,0,"7,921",,0,,,,,,,,,,,,,,,,,,,,
Apollo Trust Company,Bank,368522,Apollo,PA,3/31/2025,"205,145",0,0,0,0,"12,080","11,173","12,212","11,217","20,463",0,0,"9,444",,0,,,,,,,,,,,,,,,,,,,,
Apple Bank,Bank,249612,New York,NY,3/31/2025,"17,944,824","418,841","361,182","428,551","362,680","3,319,591","3,139,011","3,287,267","3,084,050","1,254,077","274,072",0,0,,274072,,,,,,,,,,,,,,,,,,,,
"Apple Creek Banking Company, The",Bank,213912,Apple Creek,OH,3/31/2025,"256,394",0,0,0,0,"28,082","25,770","29,103","26,465","20,340",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Apple River State Bank,Bank,594938,Apple River,IL,3/31/2025,"611,375","11,694","10,754","12,339","11,474","167,493","152,329","169,020","151,597","41,890",0,0,"47,210",,0,,,,,,,,,,,,,,,,,,,,
Applied Bank,Bank,2467670,Wilmington,DE,3/31/2025,"277,124",0,0,0,0,0,0,0,0,"42,839",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Arbor Bank,Bank,1872941,Nebraska City,NE,3/31/2025,"616,500",0,0,0,0,"62,273","60,508","63,292","61,017","55,488",44,0,"19,101",,44,,,,,,,,,,,,,,,,,,,,
Arcadian Bank,Bank,1007752,Hartland,MN,3/31/2025,"224,476",0,0,0,0,"38,204","35,711","38,800","36,151","24,472","1,530",0,"12,909",,1530,,,,,,,,,,,,,,,,,,,,
Argentine Federal Savings,Bank,120476,Kansas City,KS,3/31/2025,"68,083","19,820","16,784","20,122","16,765",0,0,0,0,"8,059",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Arlington State Bank,Bank,270353,Arlington,MN,3/31/2025,"56,936",0,0,0,0,"30,558","26,987","30,100","26,143","2,459",0,0,"6,192",,0,,,,,,,,,,,,,,,,,,,,
Arlo Bank,Bank,717670,Springfield,MO,3/31/2025,"135,919",0,0,0,0,"6,211","5,942","6,304","5,972","31,912","3,397","1,821",978,,5218,,,,,,,,,,,,,,,,,,,,
"Armed Forces Bank, National Association",Bank,983457,Fort Leavenworth,KS,3/31/2025,"1,418,808",0,0,0,0,"369,310","327,773","372,226","323,540","165,635","14,593",0,0,,14593,,,,,,,,,,,,,,,,,,,,
Armor Bank,Bank,168571,Forrest City,AR,3/31/2025,"468,721",1,1,1,1,"56,760","48,188","59,575","49,884","34,744","2,348",774,"4,167",,3122,,,,,,,,,,,,,,,,,,,,
Armstrong Bank,Bank,470452,Muskogee,OK,3/31/2025,"2,473,491",0,0,0,0,"729,595","600,095","765,454","652,366","153,967","15,929",627,"427,725",,16556,,,,,,,,,,,,,,,,,,,,
Armstrong County Building And Loan Association,Bank,269571,Ford City,PA,3/31/2025,"96,790","28,599","25,720","29,723","26,313",0,0,0,0,"11,731",0,0,"7,890",,0,,,,,,,,,,,,,,,,,,,,
Aroostook County Federal Savings & Loan Association,Bank,351878,Caribou,ME,3/31/2025,"199,014",0,0,0,0,"46,963","45,518","47,910","46,001","18,836",0,0,"7,471",,0,,,,,,,,,,,,,,,,,,,,
Arrow Bank National Association,Bank,866000,Glens Falls,NY,3/31/2025,"4,440,208","97,491","96,335","98,261","96,586","473,660","445,743","499,673","463,113","379,175","23,789","1,570","91,929",,25359,,,,,,,,,,,,,,,,,,,,
Arrowhead Bank,Bank,570558,Llano,TX,3/31/2025,"291,870",0,0,0,0,"78,586","76,416","87,401","84,465","29,390",0,0,"6,764",,0,,,,,,,,,,,,,,,,,,,,
Arthur State Bank,Bank,591320,Union,SC,3/31/2025,"788,655","122,596","121,469","123,282","120,615","28,612","26,539","31,591","29,152","48,047",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Artisans' Bank,Bank,73116,Wilmington,DE,3/31/2025,"694,474",0,0,0,0,"136,873","120,104","136,454","117,203","60,757",0,0,"6,716",,0,,,,,,,,,,,,,,,,,,,,
Arundel Federal Savings Bank,Bank,390372,Glen Burnie,MD,3/31/2025,"454,283",0,0,0,0,"47,300","41,408","49,213","42,288","63,857",0,0,"1,374",,0,,,,,,,,,,,,,,,,,,,,
Arvest Bank,Bank,311845,Fayetteville,AR,3/31/2025,"27,136,208",0,0,0,0,"6,440,166","5,424,137","6,800,671","5,686,863","1,599,873","456,173","11,030","1,042,815",,467203,,,,,,,,,,,,,,,,,,,,
Ascendia Bank,Bank,147679,Glen Rock,NJ,3/31/2025,"394,079","38,382","34,726","35,616","31,374","2,445","2,141","2,530","2,174","36,024",0,6,"2,012",,6,,,,,,,,,,,,,,,,,,,,
Ascent Bank,Bank,647955,Helena,MT,3/31/2025,"104,551",840,840,840,840,"11,119","9,889","12,231","10,808","8,354",960,0,0,,960,,,,,,,,,,,,,,,,,,,,
Ashton State Bank,Bank,821643,Ashton,IA,3/31/2025,"55,319",0,0,0,0,"16,368","14,185","16,765","14,534","5,482",0,0,"8,859",,0,,,,,,,,,,,,,,,,,,,,
Asian Bank,Bank,2785477,Philadelphia,PA,3/31/2025,"606,439",0,0,0,0,"76,854","72,485","77,592","72,239","119,698",0,0,"7,790",,0,,,,,,,,,,,,,,,,,,,,
Asian Pacific National Bank,Bank,1462986,San Gabriel,CA,3/31/2025,"55,491",0,0,0,0,"8,000","7,837","10,000","9,759","10,730",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Aspire Bank,Bank,668053,Fargo,ND,3/31/2025,"65,879",0,0,0,0,13,13,15,15,"5,941",568,0,0,,568,,,,,,,,,,,,,,,,,,,,
"Associated Bank, National Association",Bank,917742,Green Bay,WI,3/31/2025,"43,249,136","3,705,856","3,174,170","3,738,748","3,185,497","4,789,259","4,796,570","4,605,954","4,581,434","3,422,113","1,094,556","29,457","1,652,040",,1124013,,,,,,,,,,,,,,,,,,,,
"Associated Trust Company, National Association",Bank,1629903,Milwaukee,WI,3/31/2025,"80,234",994,"1,009","1,000",999,0,0,0,0,"65,257",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Astra Bank,Bank,1003455,Scandia,KS,3/31/2025,"414,651",245,245,245,245,"187,107","157,391","183,748","151,325","10,462","1,929",0,"57,992",,1929,,,,,,,,,,,,,,,,,,,,
Atascosa Bank,Bank,851060,Pleasanton,TX,3/31/2025,"86,746",0,0,0,0,"55,111","50,037","54,157","48,144","8,874",0,0,"15,586",,0,,,,,,,,,,,,,,,,,,,,
Athol Savings Bank,Bank,408307,Athol,MA,3/31/2025,"675,710",0,0,0,0,"156,657","138,802","157,674","137,156","66,815",0,0,"9,774",,0,,,,,,,,,,,,,,,,,,,,
Atkins Savings Bank & Trust,Bank,739346,Atkins,IA,3/31/2025,"160,536",0,0,0,0,"51,092","43,951","50,126","42,985","13,054",196,0,"43,339",,196,,,,,,,,,,,,,,,,,,,,
"Atlanta National Bank, The",Bank,672238,Atlanta,IL,3/31/2025,"73,939","2,238","2,058","2,239","2,041","33,329","31,759","33,232","31,354","8,000",0,0,"15,431",,0,,,,,,,,,,,,,,,,,,,,
Atlantic Community Bankers Bank,Bank,959715,Camp Hill,PA,3/31/2025,"942,449","22,529","18,547","22,639","18,714","178,397","172,129","173,918","166,414","135,019","3,083","1,185","22,529",,4268,,,,,,,,,,,,,,,,,,,,
Atlantic Union Bank,Bank,693224,Richmond,VA,3/31/2025,"24,519,745","821,210","772,562","804,000","759,485","2,862,384","2,480,281","2,841,304","2,438,625","2,192,340","1,214,053","79,165","1,177,408",,1293218,,,,,,,,,,,,,,,,,,,,
Auburn Banking Company,Bank,811541,Auburn,KY,3/31/2025,"139,652",0,0,0,0,"19,253","16,922","19,575","16,892","9,785",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Auburn Savings Bank, Fsb",Bank,229173,Auburn,ME,3/31/2025,"101,149",0,0,0,0,"15,471","13,029","15,775","13,038","6,164",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Auburn State Bank,Bank,979151,Auburn,NE,3/31/2025,"258,505",0,0,0,0,"131,166","116,920","131,910","117,213","25,933",0,0,"58,889",,0,,,,,,,,,,,,,,,,,,,,
AuburnBank,Bank,749635,Auburn,AL,3/31/2025,"996,268",0,0,0,0,"276,347","242,468","282,548","243,012","81,725",0,0,"16,962",,0,,,,,,,,,,,,,,,,,,,,
Audubon State Bank,Bank,760649,Audubon,IA,3/31/2025,"162,674",0,0,0,0,"12,731","12,568","13,933","13,672","15,110","2,451",49,0,,2500,,,,,,,,,,,,,,,,,,,,
"Austin Bank, Texas National Association",Bank,548351,Jacksonville,TX,3/31/2025,"3,119,259","28,135","27,513","31,135","30,376","245,382","237,699","271,827","261,590","420,445","12,795",0,"30,457",,12795,,,,,,,,,,,,,,,,,,,,
Austin County State Bank,Bank,3463875,Bellville,TX,3/31/2025,"417,617",0,0,0,0,"33,051","31,942","31,856","30,592","39,720",0,0,"16,897",,0,,,,,,,,,,,,,,,,,,,,
Availa Bank,Bank,859141,Carroll,IA,3/31/2025,"1,645,413",0,0,0,0,"425,025","374,603","426,522","376,012","112,969","22,141",769,"283,014",,22910,,,,,,,,,,,,,,,,,,,,
Avana Bank,Bank,498456,Abilene,TX,3/31/2025,"41,754",0,0,0,0,"1,055","1,057","1,049","1,052","6,506","2,029",163,0,,2192,,,,,,,,,,,,,,,,,,,,
AVB Bank,Bank,262059,Broken Arrow,OK,3/31/2025,"517,377","2,000","1,900","2,000","1,900","71,001","62,519","73,441","63,985","43,401",0,0,"2,872",,0,,,,,,,,,,,,,,,,,,,,
Avidbank,Bank,3214059,San Jose,CA,3/31/2025,"2,313,465",0,0,0,0,"362,204","296,617","369,155","296,556","210,717",0,0,"4,632",,0,,,,,,,,,,,,,,,,,,,,
Avidia Bank,Bank,619701,Hudson,MA,3/31/2025,"2,709,220","16,746","15,993","16,747","16,630","280,803","258,563","289,932","262,547","196,632","11,936",0,"8,108",,11936,,,,,,,,,,,,,,,,,,,,
"Axiom Bank, National Association",Bank,408875,Maitland,FL,3/31/2025,"861,206",0,0,0,0,"157,103","156,726","108,481","107,575","91,309",0,970,0,,970,,,,,,,,,,,,,,,,,,,,
Axos Bank,Bank,2917317,San Diego,CA,3/31/2025,"23,099,500",0,0,0,0,"837,241","919,749","856,972","945,764","2,391,044","35,721","5,743","3,658",,41464,,,,,,,,,,,,,,,,,,,,
B1bank,Bank,3408728,Baton Rouge,LA,3/31/2025,"7,788,126",0,0,0,0,"987,573","920,573","973,423","893,549","769,812","116,088","16,538","274,970",,132626,,,,,,,,,,,,,,,,,,,,
BAC Community Bank,Bank,5461,Stockton,CA,3/31/2025,"791,420","225,754","207,204","227,907","208,545","41,869","40,118","48,457","46,171","68,296",0,36,"96,624",,36,,,,,,,,,,,,,,,,,,,,
BAC Florida Bank,Bank,725732,Coral Gables,FL,3/31/2025,"5,113,732","62,483","58,149","58,265","53,333","328,751","328,555","320,243","316,622","535,760",0,0,"28,561",,0,,,,,,,,,,,,,,,,,,,,
Badger Bank,Bank,846945,Fort Atkinson,WI,3/31/2025,"197,707",500,500,500,500,"49,689","43,956","50,228","43,859","19,780",482,12,"11,497",,494,,,,,,,,,,,,,,,,,,,,
Baker-Boyer National Bank,Bank,69678,Walla Walla,WA,3/31/2025,"675,907",495,492,494,489,"206,649","196,702","223,246","211,130","54,632",0,0,"104,294",,0,,,,,,,,,,,,,,,,,,,,
Balboa Thrift and Loan Association,Bank,696168,Chula Vista,CA,3/31/2025,"416,037",0,0,0,0,0,0,0,0,"46,997",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Baldwin State Bank, The",Bank,997155,Baldwin City,KS,3/31/2025,"105,946",0,0,0,0,"41,155","40,780","42,246","41,550","10,143",0,0,882,,0,,,,,,,,,,,,,,,,,,,,
Ballston Spa National Bank,Bank,505,Ballston Spa,NY,3/31/2025,"898,639",0,0,0,0,"73,928","73,165","78,457","76,954","70,702","1,595",0,"13,016",,1595,,,,,,,,,,,,,,,,,,,,
"Baltic State Bank, The",Bank,112510,Baltic,OH,3/31/2025,"107,992",0,0,0,0,"6,923","6,011","6,926","5,886","7,611",0,0,508,,0,,,,,,,,,,,,,,,,,,,,
Banc Of California,Bank,494261,Los Angeles,CA,3/31/2025,"33,692,415","2,312,512","2,180,511","2,307,649","2,158,193","2,575,393","2,334,058","2,526,644","2,246,839","3,516,695","214,521","127,918","1,253,052",,342439,,,,,,,,,,,,,,,,,,,,
"BancCentral, National Association",Bank,251352,Alva,OK,3/31/2025,"243,005",0,0,0,0,"119,451","103,989","117,015","103,625","9,597",0,0,"60,021",,0,,,,,,,,,,,,,,,,,,,,
BancFirst,Bank,1386251,Oklahoma City,OK,3/31/2025,"11,760,868",777,777,837,837,"1,021,474","994,260","1,072,818","1,034,977","1,149,382","75,188","3,788","4,653",,78976,,,,,,,,,,,,,,,,,,,,
Banco Do Brasil Americas,Bank,110936,Miami,FL,3/31/2025,"3,035,260",0,0,0,0,"944,825","929,516","937,118","910,757","300,907","10,488",0,0,,10488,,,,,,,,,,,,,,,,,,,,
Banco Popular De Puerto Rico,Bank,940311,San Juan,PR,3/31/2025,"59,140,000","7,783,000","7,775,000","7,893,000","7,816,000","19,420,000","18,378,000","18,339,000","17,142,000","2,881,000","426,000","5,000","196,000",,431000,,,,,,,,,,,,,,,,,,,,
"Bancorp Bank National Association, The",Bank,2858960,Sioux Falls,SD,3/31/2025,"9,385,015",0,0,0,0,"1,490,666","1,488,184","1,526,405","1,502,860","910,412",263,891,"37,821",,1154,,,,,,,,,,,,,,,,,,,,
BancorpSouth Bank,Bank,606046,Tupelo,MS,3/31/2025,"47,743,294",0,0,0,0,"8,670,638","7,912,159","8,147,696","7,293,988","4,101,116","1,366,923","83,509","129,822",,1450432,,,,,,,,,,,,,,,,,,,,
Bandera Bank,Bank,78157,Bandera,TX,3/31/2025,"92,849","12,184","11,439","11,875","10,931","6,065","5,080","6,194","5,082","9,733",0,0,"2,458",,0,,,,,,,,,,,,,,,,,,,,
Banesco USA,Bank,3402913,Miami,FL,3/31/2025,"4,748,519","176,032","167,098","183,330","171,197","586,663","560,142","547,374","514,951","287,616",0,27,"17,550",,27,,,,,,,,,,,,,,,,,,,,
Bangor Savings Bank,Bank,419406,Bangor,ME,3/31/2025,"7,235,355",0,0,0,0,"1,774,744","1,557,636","1,827,746","1,576,402","383,217","71,851",83,"93,033",,71934,,,,,,,,,,,,,,,,,,,,
Bank,Bank,952846,Wapello,IA,3/31/2025,"161,202",0,0,0,0,0,0,0,0,"16,636",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Bank & Trust Company,Bank,496845,Litchfield,IL,3/31/2025,"602,303",0,0,0,0,"171,697","164,406","166,135","156,783","59,431",0,0,"25,601",,0,,,,,,,,,,,,,,,,,,,,
Bank 1st,Bank,142049,West Union,IA,3/31/2025,"163,794",0,0,0,0,"73,203","63,124","74,160","63,929","14,367",0,0,"40,294",,0,,,,,,,,,,,,,,,,,,,,
Bank 21,Bank,634544,Carrollton,MO,3/31/2025,"172,985",0,0,0,0,"2,309","2,180","2,315","2,168","19,433",50,0,"1,692",,50,,,,,,,,,,,,,,,,,,,,
BANK 34,Bank,955977,Scottsdale,AZ,3/31/2025,"940,015","5,758","5,323","5,766","5,295","94,080","87,919","86,450","78,661","101,857",0,"7,184","19,541",,7184,,,,,,,,,,,,,,,,,,,,
Bank 360,Bank,464853,Cordell,OK,3/31/2025,"63,858",0,0,0,0,0,0,0,0,"5,447",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Bank And Trust, Ssb, The",Bank,623454,Del Rio,TX,3/31/2025,"559,089",0,0,0,0,"139,956","125,794","144,161","127,914","41,206","2,473",0,"32,593",,2473,,,,,,,,,,,,,,,,,,,,
"Bank First, National Association",Bank,594947,Manitowoc,WI,3/31/2025,"4,503,954","110,241","110,177","110,756","109,571","175,138","163,286","235,409","222,616","391,734","175,106","19,905","59,284",,195011,,,,,,,,,,,,,,,,,,,,
